word	nodeType	unit
scary	ADJ	ATE12
unprepared	ADJ	ATE12
reliable	ADJ	ATE12
open	ADJ	ATE12
scared	ADJ	ATE12
total	ADJ	ATE12
afraid	ADJ	ATE12
exhausted	ADJ	ATE12
goldfish	ADJ	ATE12
giant	ADJ	ATE12
ordinary	ADJ	ATE12
little	ADJ	ATE12
wonderful	ADJ	ATE12
cool	ADJ	ATE12
tired	ADJ	ATE12
warm	ADJ	ATE12
great	ADJ	ATE12
good	ADJ	ATE12
true	ADJ	ATE12
new	ADJ	ATE12
wild	ADJ	ATE12
nuts	ADJ	ATE12
bla	ADJ	ATE12
ble	ADJ	ATE12
ble	ADJ	ATE12
bla	ADJ	ATE12
convinced	ADJ	ATE12
weak	ADJ	ATE12
little	ADJ	ATE12
lucky	ADJ	ATE12
awesome	ADJ	ATE12
gross	ADJ	ATE12
good	ADJ	ATE12
new	ADJ	ATE12
feelin	ADJ	ATE12
feelin	ADJ	ATE12
feelin	ADJ	ATE12
satisfied	ADJ	ATE12
wrong	ADJ	ATE12
pretty	ADJ	ATE12
awesome	ADJ	ATE12
well	ADJ	ATE12
right	ADJ	ATE12
little	ADJ	ATE12
scared	ADJ	ATE12
pathetic	ADJ	ATE12
little	ADJ	ATE12
pathetic	ADJ	ATE12
ready	ADJ	ATE12
fun	ADJ	ATE12
dead	ADJ	ATE12
hardcore	ADJ	ATE12
old	ADJ	ATE12
slow	ADJ	ATE13
ready	ADJ	ATE13
hard	ADJ	ATE13
aoh	ADJ	ATE13
hard	ADJ	ATE13
good	ADJ	ATE13
giant	ADJ	ATE13
dead	ADJ	ATE13
good	ADJ	ATE13
pure	ADJ	ATE13
about	ADJ	ATE13
little	ADJ	ATE13
little	ADJ	ATE13
okay	ADJ	ATE13
other	ADJ	ATE13
wrong	ADJ	ATE13
terrible	ADJ	ATE13
whole	ADJ	ATE13
pure	ADJ	ATE13
hopeless	ADJ	ATE13
other	ADJ	ATE13
redoodoodiculous	ADJ	ATE13
whole	ADJ	ATE13
little	ADJ	ATE13
headed	ADJ	ATE13
wrong	ADJ	ATE13
fun	ADJ	ATE13
headed	ADJ	ATE13
headed	ADJ	ATE13
headed	ADJ	ATE13
headed	ADJ	ATE13
new	ADJ	ATE13
asleep	ADJ	ATE13
pure	ADJ	ATE13
little	ADJ	ATE13
great	ADJ	ATE13
magical	ADJ	ATE13
pure	ADJ	ATE13
top	ADJ	ATE13
light	ADJ	ATE13
blue	ADJ	ATE13
afraid	ADJ	ATE13
red	ADJ	ATE13
able	ADJ	ATE13
good	ADJ	ATE13
high	ADJ	ATE13
only	ADJ	ATE13
great	ADJ	ATE13
sorry	ADJ	ATE13
much	ADJ	ATE13
able	ADJ	ATE13
black	ADJ	ATE13
crooked	ADJ	ATE13
easy	ADJ	ATE13
cute	ADJ	ATE13
little	ADJ	ATE13
stupid	ADJ	ATE13
dirty	ADJ	ATE13
criminal	ADJ	ATE13
pure	ADJ	ATE13
right	ADJ	ATE13
enough	ADJ	ATE13
impure	ADJ	ATE13
unfit	ADJ	ATE13
unfit	ADJ	ATE13
alone	ADJ	ATE13
super	ADJ	ATE13
-	ADJ	ATE13
big	ADJ	ATE13
dirty	ADJ	ATE13
filthy	ADJ	ATE13
wicked	ADJ	ATE13
different	ADJ	ATE13
black	ADJ	ATE13
crooked	ADJ	ATE13
other	ADJ	ATE13
poor	ADJ	ATE13
homeless	ADJ	ATE13
sorry	ADJ	ATE13
nearby	ADJ	ATE13
clean	ADJ	ATE13
clean	ADJ	ATE13
clean	ADJ	ATE13
young	ADJ	ATE13
welcome	ADJ	ATE13
squeaky	ADJ	ATE13
